disease,icd,count
stage i oral cavity squamous cell carcinoma ajcc v6 and v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
stage i oropharyngeal squamous cell carcinoma ajcc v6 and v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
stage ii oral cavity squamous cell carcinoma ajcc v6 and v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
stage ii oropharyngeal squamous cell carcinoma ajcc v6 and v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
stage iii oral cavity squamous cell carcinoma ajcc v6 and v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
stage iii oropharyngeal squamous cell carcinoma ajcc v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
stage iva oral cavity squamous cell carcinoma ajcc v6 and v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
stage ivb oral cavity squamous cell carcinoma ajcc v6 and v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
post-operative urinary retention,"['R33.8', 'R33.9', 'R33.0']",1
stage ii rectal cancer ajcc v7,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
primary focal segmental glomerulosclerosis (fsgs),"['K55.021', 'K55.041', 'M99.00', 'M99.01', 'M99.02', 'M99.03', 'M99.04']",1
facioscapulohumeral muscular dystrophy,['G71.02'],1
acute myeloid leukemia with fms-like tyrosine kinase (flt3) / internal tandem duplication (itd) mutation,"['Q51.820', 'Q43.4', 'Q62.5', 'Q92.5']",1
braf v600e-mutant metastatic colorectal cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
"copd, chronic obstructive pulmonary disease","['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
"assessing injection pain of makena® (hydroxyprogesterone caproate injection, 250 mg/ml) in healthy post-menopausal women","['T80.90XS', 'Y62.3', 'T80.0XXS', 'T80.1XXS', 'T80.29XS', 'T80.89XS', 'T80.90XA']",1
"pneumonia, staphylococcal","['G00.3', 'M00.09', 'A05.0', 'M00.08', 'L00', 'M00.00', 'M00.011']",1
non alcoholic fatty liver disease,"['Z52.6', 'K71.8', 'K71.7', 'A06.4', 'C22.0', 'C22.3', 'K70.0']",1
high risk smoldering multiple myeloma,"['G35', 'M15.3', 'M67.49', 'M89.09', 'M89.59', 'M94.29', 'Q78.6']",1
mixed dyslipidaemia,None,1
egfr activating mutation,['D75.84'],1
ankle fracture surgery,"['M84.350A', 'M84.454A', 'S92.151A', 'S92.151B', 'S92.152A', 'S92.152B', 'S92.153A']",1
regional anesthesia,"['R20.0', 'T88.51XS', 'J95.4', 'T88.2XXS', 'T88.51XA', 'T88.51XD', 'T88.59XS']",1
injection site,"['T80.90XS', 'Y62.3', 'T80.0XXS', 'T80.1XXS', 'T80.29XS', 'T80.89XS', 'T80.90XA']",1
injection site infection,"['T80.90XS', 'Y62.3', 'T80.0XXS', 'T80.1XXS', 'T80.29XS', 'T80.89XS', 'T80.90XA']",1
relapsed/refractory,None,1
non-erosive gastroesophageal reflux disease,"['K22.6', 'K21.9', 'K21.00', 'K21.01']",1
miscarriage in first trimester,"['O60.12X1', 'O60.12X2', 'O60.12X3', 'O60.12X4', 'O60.12X5', 'O60.12X9', 'O60.13X1']",1
treatment-refractory depression,"['F32.A', 'F53.0', 'P91.4', 'Z13.31', 'Z13.32']",1
late life depression,"['F32.A', 'F53.0', 'P91.4', 'Z13.31', 'Z13.32']",1
geriatric depression,"['F32.A', 'F53.0', 'P91.4', 'Z13.31', 'Z13.32']",1
spinocerebellar ataxias,None,1
spinocerebellar ataxia genotype type 1,None,1
spinocerebellar ataxia genotype type 2,None,1
spinocerebellar ataxia genotype type 3,None,1
spinocerebellar ataxia genotype type 6,None,1
spinocerebellar ataxia genotype type 7,None,1
spinocerebellar ataxia genotype type 8,None,1
spinocerebellar ataxia genotype type 10,None,1
postoperative ocular pain after prk surgery,None,1
acute bacterial skin and skin structure infections,"['A49.9', 'G00.8', 'G00.9', 'J15.9', 'K65.2', 'A04.9', 'A05.9']",1
no evidence of disease,"['L97.105', 'L97.106', 'L97.115', 'L97.116', 'L97.125', 'L97.126', 'L97.205']",1
assess phenylephrine on evp and iop,None,1
fontan procedure,"['Z53.31', 'Z53.32', 'Z53.33', 'Z53.39', 'Z98.818', 'G97.84', 'O86.04']",1
idiopathic angioedema,"['E20.0', 'I95.0', 'L50.1', 'D61.3', 'G24.2', 'G24.4', 'G60.3']",1
"follicular lymphoma, grade 1","['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
"follicular lymphoma, grade 2","['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
follicular lymphoma grade iiia,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
non-small-cell lung cancer metastatic,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
"non-small cell carcinoma of lung, tnm stage 4","['D02.20', 'D02.21', 'D02.22']",1
non small cell lung cancer recurrent,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
chronic inflammatory demyelinating polyneuropathy,"['B02.23', 'B26.84', 'G62.1', 'G62.9', 'G61.9', 'G62.0', 'G62.81']",1
"charcot-marie-tooth disease, type 1b",None,1
anti-mag neuropathy,"['G58.0', 'G61.1', 'A52.15', 'G60.3', 'G61.82', 'H46.2', 'H46.3']",1
cutaneous melanoma,"['A06.7', 'A22.0', 'A26.0', 'A32.0', 'A36.3', 'A43.1', 'B38.3']",1
"heart failure, reduced ejection fraction",None,1
autoimmune necrotizing myopathy,"['M72.6', 'A69.0', 'K55.30', 'M31.9', 'K55.31', 'K55.32', 'K55.33']",1
overlap myositis,"['B58.82', 'D86.87', 'M60.9', 'B69.81', 'H05.123', 'G72.41', 'H05.121']",1
juvenile myositis above the age of 18,"['M30.2', 'A50.45', 'L40.54', 'M08.1', 'M92.9', 'M08.3', 'M08.98']",1
type2 diabetes,"['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']",1
suicidal ideas,"['R45.851', 'Z91.51']",1
triple-negative breast neoplasms,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
chronic hepatitis b atypical,"['B00.81', 'B25.1', 'B26.81', 'B58.1', 'K75.4', 'A51.45', 'B17.2']",1
progressive supranuclear palsy,['G23.1'],1
"arthritis, rheumatoid; arthritis, psoriatic","['M05.9', 'M06.08', 'M06.00', 'M06.011', 'M06.012', 'M06.019', 'M06.021']",1
soft-tissue sarcoma,['C46.1'],1
"arrhythmia, cardiac","['I49.9', 'I49.8']",1
cns tumor,None,1
lamotrigine,None,1
advanced cholangiocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
chemo-radiation induced nausea and vomiting,"['R11.10', 'R11.12', 'R11.14', 'R11.11', 'K91.0', 'O21.2', 'O21.8']",1
pleural mesothelioma malignant advanced,"['C45.9', 'C45.0', 'C45.1', 'C45.2', 'C45.7']",1
renal function impairment in healthy volunteers,"['N25.0', 'Q61.4', 'N23', 'N26.9', 'P96.0', 'Q60.0', 'Q60.1']",1
transfusion-dependent thalassemia,"['D56.0', 'D56.1', 'D56.3', 'D56.9', 'D56.2', 'D56.5', 'D57.40']",1
non-transfusion-dependent thalassemia,"['D56.0', 'D56.1', 'D56.3', 'D56.9', 'D56.2', 'D56.5', 'D57.40']",1
graves disease,None,1
anca-associated vasculitis,"['L95.0', 'H35.063', 'H35.061', 'H35.062', 'H35.069', 'M35.0B', 'I77.82']",1
major abdominal surgery,"['A42.1', 'G43.D1', 'I77.811', 'R10.815', 'R10.816', 'R10.817', 'R10.84']",1
general anesthesia,"['T88.53XS', 'Z92.84', 'T88.53XA', 'T88.53XD']",1
spinal anesthesia,"['O89.4', 'O29.40', 'O29.41', 'O29.42', 'O29.43', 'O74.5', 'O89.5']",1
irregular sleep-wake rhythm disorder,['G47.23'],1
"alopecia, androgenetic","['A51.32', 'L63.1', 'L65.2', 'Q84.0', 'L63.0', 'L63.8', 'L63.9']",1
prehypertension,None,1
digestive system disease,"['K92.9', 'B57.30', 'B57.39', 'K92.89', 'O99.611', 'O99.612', 'O99.613']",1
insulin resistance syndrome,['E88.811'],1
gastrointestinal motility disorder,"['A21.3', 'A22.2', 'B46.2', 'K92.2', 'K92.81', 'K91.0', 'P54.3']",1
intestinal disease,"['A07.9', 'C88.3', 'K50.912', 'K50.012', 'K50.112', 'K50.812', 'A07.8']",1
qt effects in healthy volunteers,None,1
perianal fistula,"['K64.5', 'A60.1']",1
performance anxiety,"['Y65.51', 'Y65.52', 'Y65.53']",1
figo grade 1 endometrial endometrioid adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
figo grade 2 endometrial endometrioid adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
figo grade 3 endometrial endometrioid adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
gastric neoplasms,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
exercise therapy,"['Z71.82', 'J45.990', 'Z72.3', 'Y93.A3', 'Y93.A9', 'Y93.14', 'Y93.A1']",1
cardiorespiratory fitness,"['Q93.81', 'B33.4', 'A36.81', 'A50.54', 'A52.00', 'A52.09', 'B33.24']",1
axial spondyloarthritis (axspa),"['M45.A2', 'M45.A3', 'M45.A4', 'M45.A5', 'M45.A6', 'M45.A7', 'M45.A0']",1
anterior uveitis (au),"['G83.82', 'H15.013', 'M26.54', 'G46.1', 'H15.011', 'H15.012', 'H15.019']",1
idh family wildtype,['E85.82'],1
recurrent anaplastic astrocytoma,"['C84.67', 'C84.77', 'C84.7A', 'C84.60', 'C84.70', 'C84.62', 'C84.66']",1
psoriatic nail,"['L40.53', 'L40.52', 'L40.54', 'L40.59', 'L40.51']",1
parathyroid adenoma,"['C75.0', 'D35.1', 'E21.5', 'E21.4', 'D44.2', 'E20.819', 'E20.818']",1
parathyroid hyperplasia,"['C75.0', 'D35.1', 'E21.5', 'E21.4', 'D44.2', 'E20.819', 'E20.818']",1
pseudomonas aeruginosa pneumonia,"['A41.52', 'J15.1', 'P23.5', 'B96.5']",1
chronic obstructive pulmonary disease moderate,"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
juvenile psoriatic arthritis,"['L40.53', 'L40.52', 'L40.54', 'L40.59', 'L40.51']",1
enthesitis-related arthritis,"['A01.04', 'A02.23', 'A39.83', 'A39.84', 'A54.42', 'B06.82', 'B26.85']",1
healthcare-associated pneumonia (hcap),"['A01.03', 'A02.22', 'A54.84', 'B01.2', 'B06.81', 'B77.81', 'J12.0']",1
hospital acquired pneumonia (hap),"['A01.03', 'A02.22', 'A54.84', 'B01.2', 'B06.81', 'B77.81', 'J12.0']",1
ventilator associated pneumonia (vap),"['J95.851', 'J95.859', 'Z99.11', 'Z99.12']",1
wet macular degeneration,"['G23.2', 'G31.85', 'I51.5', 'K04.2', 'H18.40', 'H18.49', 'H35.30']",1
ocular discomfort,"['H53.143', 'H53.149', 'H53.141', 'H53.142']",1
chronic heart failure with reduced ejection fraction (hfref),None,1
viral intestinal infection,['A08.4'],1
non-squamous non-small cell lung cancer (nsclc),"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
gastro-enteropancreatic neuroendocrine tumor,"['C7A.1', 'C7A.8', 'C7B.8', 'D3A.8']",1
neuroendocrine carcinomas of pancreas,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
small cell lung carcinoma extensive disease,"['D02.20', 'D02.21', 'D02.22']",1
generalized pustular psoriasis and erythrodermic psoriasis,"['A21.7', 'I70.91', 'R60.1', 'R61', 'F40.11', 'F41.1', 'K65.0']",1
quadriceps muscle strength,"['S76.111S', 'S76.112S', 'S76.119S', 'S76.121S', 'S76.122S', 'S76.129S', 'S76.101S']",1
non-dialysis dependent chronic kidney disease,"['N26.2', 'Q63.0', 'Q63.2', 'Z52.4', 'I75.81', 'N19', 'N20.0']",1
dialysis dependent chronic kidney disease,"['N26.2', 'Q63.0', 'Q63.2', 'Z52.4', 'I75.81', 'N19', 'N20.0']",1
"dermatitis, dermatitis atopic","['L20.89', 'L20.9']",1
"eczema, skin diseases, skin",None,1
"diseases genetic, genetic","['Z14.8', 'Z15.89', 'Z84.81', 'Z13.71', 'Z31.430', 'Z31.440']",1
"diseases inborn, skin",None,1
"disease, eczematous skin","['H01.131', 'H01.132', 'H01.134', 'H01.135', 'H01.133', 'H01.136', 'H01.139']",1
"hypersensitivity, immune system diseases","['M31.0', 'M36.4', 'J39.3', 'J67.8', 'J67.9']",1
oxidative stress,None,1
lung structure determination,['Z02.71'],1
"schizophrenia, acute episode","['F20.0', 'F20.1', 'F20.2', 'F20.3', 'F20.5', 'F20.89', 'F20.9']",1
chronic rhinosinusitis (diagnosis),"['R03.0', 'Z71.1']",1
"headache, migraine","['G44.81', 'G44.86', 'R51.9', 'G44.53', 'G44.83', 'G44.84', 'G44.85']",1
small bowel carcinoid tumor,"['C7A.00', 'C7A.010', 'C7A.011', 'C7A.012', 'C7A.020', 'C7A.021', 'C7A.026']",1
tnbc - triple-negative breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
"artery diseases, peripheral","['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",1
"plaque, atherosclerotic","['I25.10', 'I25.110', 'I25.112', 'I25.119', 'I25.111', 'I25.118']",1
occlusive arterial disease,['N52.03'],1
acne rosacea,None,1
breast feeding,['P92.5'],1
analgesia obstetrical,"['A34', 'O86.04']",1
small cell lung cancer (sclc),"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
"supranuclear palsy, progressive",['G23.1'],1
serious mental illness,None,1
colorectal adenocarcinoma metastatic to the liver,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
medullary thyroid cancer (mtc),"['C73', 'D34', 'D44.0', 'Z85.850']",1
splanchnic vein thrombosis,['N80.D1'],1
heart transplant surgery,"['T86.11', 'T86.12', 'T86.13', 'T86.21', 'T86.22', 'T86.23', 'T86.41']",1
lung transplant surgery,"['T86.11', 'T86.12', 'T86.13', 'T86.21', 'T86.22', 'T86.23', 'T86.41']",1
hiv-associated cognitive motor complex,"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",1
germ cell tumor,None,1
cancer of stomach,"['D13.1', 'C16.9', 'C16.1', 'C16.2', 'D37.1', 'C16.8', 'C16.5']",1
partial seizures with or without secondary generalization,"['D75.1', 'E26.1', 'N91.1', 'N91.4', 'N94.5', 'A51.41', 'A51.43']",1
peripheral solitary pulmonary nodule or tuberculoma,"['A17.1', 'A17.81']",1
posterior cervical decompression and fusion,"['T70.3XXS', 'T70.3XXA', 'T70.3XXD']",1
stage i oral cavity squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
stage ii oral cavity squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
enzyme inhibitors,"['T46.4X6S', 'T46.4X3S', 'T46.4X4S', 'T46.4X5S', 'T46.4X6A', 'T46.4X6D', 'T46.4X1S']",1
protein kinase inhibitors,"['T43.226S', 'T46.4X6S', 'Z79.811', 'T43.223S', 'T43.224S', 'T43.225S', 'T43.226A']",1
hypothyroidism;postablative,None,1
membranoproliferative glomerulonephritis,['N02.B3'],1
aromatherapy,None,1
parkinson´s disease,None,1
cerebrospinal fluid,"['G96.00', 'G96.01', 'G96.02', 'G96.08', 'G96.09', 'G97.0', 'R83.4']",1
oocyte retrieval,None,1
chlamydia trachomatis infection,"['A70', 'P23.1', 'A55', 'A56.00', 'A56.01', 'A56.02', 'A56.09']",1
"neoplasms, nerve tissue","['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
"heredodegenerative disorders, nervous system","['F20.81', 'F21', 'F34.0', 'F34.1', 'F42.3', 'F45.0', 'F51.5']",1
clostridium difficile infection recurrence,"['A05.2', 'A04.71', 'A04.72', 'B96.7']",1
acute unilateral vestibulopathy (auv),"['N27.0', 'Q36.9', 'Q53.01', 'Q53.111', 'Q53.112', 'Q60.0', 'Q60.3']",1
electroconvulsive therapy,None,1
ect,"['E05.30', 'E05.31', 'E24.3', 'E34.2', 'H02.101', 'H02.102', 'H02.103']",1
psychiatric disorder,['Z04.6'],1
acneiform rash,None,1
papulopustular eruption,"['L56.4', 'X35.XXXS', 'K00.6', 'X35.XXXA', 'X35.XXXD', 'R21', 'X37.41XS']",1
hospitalization,None,1
"osteogenesis imperfecta, type i",['Q78.0'],1
osteogenesis imperfecta type iii,['Q78.0'],1
osteogenesis imperfecta type iv,['Q78.0'],1
mild to moderate chronic obstructive pulmonary disease (copd),"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
multi organ failure,None,1
perioperative chest pain,None,1
richter's transformation,"['R85.616', 'R87.616']",1
"bioequivalence, auc, cmax, pharmacokinetics",None,1
surgical recovery,"['O86.09', 'O86.00', 'Y66', 'Z48.89', 'P00.6', 'Y62.0', 'Y69']",1
primary biliary cholangitis (pbc),"['K83.09', 'K83.01', 'K80.30', 'K80.31', 'K80.32', 'K80.33', 'K80.34']",1
dexamethasone,None,1
glucocorticoids,"['T38.0X6S', 'T38.0X3S', 'T38.0X4S', 'T38.0X5S', 'T38.0X6A', 'T38.0X6D', 'T38.0X1S']",1
mastectomy,['Z42.1'],1
"nausea and vomiting, postoperative","['R11.10', 'R11.12', 'R11.14', 'R11.11', 'K91.0', 'O21.2', 'O21.8']",1
steroid,"['H40.043', 'H40.041', 'H40.042', 'H40.049', 'R78.6', 'Z92.240', 'Z92.241']",1
systemic inflammatory response syndrome,"['R65.10', 'R65.11']",1
metastatic pancreas cancer,"['D13.6', 'C25.4', 'C25.9', 'D13.7', 'C25.0', 'C25.1', 'C25.2']",1
cervical radiculitis,"['M50.20', 'M50.21', 'M50.30', 'M50.31', 'M50.80', 'M50.81', 'M50.90']",1
tdp-43 proteinopathies,None,1
"leukemia, chronic myelogenous","['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",1
alk-positive non-small cell lung cancer (nsclc),"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
ret-positive non-small cell lung cancer (nsclc),"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
ret-positive thyroid cancer,"['C73', 'D34', 'D44.0', 'Z85.850']",1
high-grade b-cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
fluid loss,None,1
"symptom complex, triple",None,1
emergencies,None,1
cutaneous lupus erythematosus,['L93.1'],1
autonomic imbalance,"['G90.4', 'G90.09', 'G44.091', 'G90.8', 'G99.0', 'G44.099', 'G90.9']",1
cancer survivorship,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
surgery of right upper extremity,"['I75.011', 'I75.012', 'I75.019', 'I75.021', 'I75.022', 'I75.029', 'I72.1']",1
nonconvulsive status epilepticus,"['G40.803', 'G40.804', 'G40.823', 'G40.824', 'G40.833', 'G40.834', 'G40.911']",1
subclinical seizure,['E02'],1
altered mental status,['R41.82'],1
nonepileptic seizures,"['G40.89', 'R56.1', 'F44.5', 'G40.501', 'G40.509', 'G40.111', 'G40.119']",1
encephalopathy,"['E51.2', 'G93.40', 'G93.41', 'G93.49', 'I67.4', 'K76.82', 'G92.8']",1
circadian rhythm disorders,"['G47.29', 'G47.20', 'G47.24', 'G47.25', 'G47.26', 'G47.21', 'G47.22']",1
various advanced cancer,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
hemorrhagic hereditary telangiectasia (hht),['I78.0'],1
kidney function tests,"['N26.2', 'Q63.0', 'Q63.2', 'Z52.4', 'I75.81', 'N19', 'N20.0']",1
epidermolysis bullosa simplex,['Q81.0'],1
specific developmental disorders of scholastic skills,"['K09.0', 'Q50.1', 'F84.8', 'F84.9', 'G70.2', 'M27.0', 'F81.89']",1
sequelae of perinatal brain injury,"['P78.0', 'P61.9', 'P61.8', 'P78.9', 'P25.1', 'P25.2', 'P25.3']",1
hip dysplasia,"['M16.30', 'M16.31', 'M16.32', 'M16.2']",1
acute upper respiratory infections,['J06.9'],1
neurocognitive dysfunction,"['G31.09', 'G31.83', 'F06.70', 'F06.71']",1
non small cell lung cancer nsclc,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
non small cell lung cancer metastatic,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
cholelithiasis,"['K80.80', 'K80.81', 'K91.86']",1
relapsed and/or refractory multiple myeloma,"['D46.4', 'I20.2', 'D46.1', 'D46.A', 'D46.0', 'D46.20', 'D46.21']",1
newly diagnosed acute myeloid leukemia (aml),"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",1
untreated aml,None,1
aml arising from myelodysplastic syndrome (mds),"['D46.Z', 'D46.9', 'C94.6', 'D46.C']",1
c-section,None,1
uterine corpus cancer,"['C54.9', 'D26.1', 'C54.8']",1
vaginal carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
vulvar carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
vulvar high grade squamous intraepithelial lesion (hsil),"['N42.31', 'N85.02', 'R85.612', 'R85.613', 'R87.612', 'R87.613', 'R87.622']",1
vulvar dysplasia,"['N90.0', 'N90.1', 'Z87.412']",1
vulvar intraepithelial neoplasia (vin),"['N42.31', 'N85.02', 'R85.612', 'R85.613', 'R87.612', 'R87.613', 'R87.622']",1
vin2,None,1
vin3,None,1
pre-cancerous lesions of the vulva,None,1
human papillomavirus (hpv),"['Z11.51', 'R85.81', 'R85.82', 'R87.810', 'R87.811', 'R87.820', 'R87.821']",1
metastatic kidney cancer,"['D17.71', 'D30.00', 'D30.01', 'D30.02', 'D41.00', 'D41.01', 'D41.02']",1
"hypoxia, altitude","['G47.32', 'T70.20XS', 'T70.29XS', 'T70.20XA', 'T70.20XD', 'T70.29XA', 'T70.29XD']",1
posterior capsule opacification,"['G83.83', 'H15.033', 'H30.23', 'G46.2', 'H15.031', 'H15.032', 'H15.039']",1
peripheral artery disease (pad); intermittent claudication,"['F63.81', 'H05.253', 'H50.30', 'H50.32', 'H50.34', 'E80.21', 'H05.251']",1
achondroplasia,['Q77.4'],1
ophthalmic solutions,"['E10.39', 'E11.39', 'E13.39', 'Y77.0', 'Y77.8', 'E08.39', 'E09.39']",1
antibiotic side effect,"['Z16.20', 'T36.96XS', 'Z16.29', 'Z88.1', 'T36.93XS', 'T36.94XS', 'T36.95XS']",1
eyelid; wound,"['S01.101S', 'S01.102S', 'S01.109S', 'S01.101A', 'S01.101D', 'S01.102A', 'S01.102D']",1
eyelid diseases,"['H02.531', 'H02.532', 'H02.534', 'H02.535', 'H02.533', 'H02.536', 'H00.033']",1
"surgical wound, recent","['O86.09', 'O86.00', 'Y66', 'Z48.89', 'P00.6', 'Y62.0', 'Y69']",1
surgical incision,"['O86.01', 'O86.02', 'T81.41XA', 'T81.41XD', 'T81.41XS', 'T81.42XA', 'T81.42XD']",1
skin cancer face,"['C44.300', 'C44.309', 'D23.30', 'D23.39', 'C44.390', 'C44.399', 'D17.0']",1
antibiotic allergy,['Z88.1'],1
heart failure，congestive,"['I50.20', 'I50.21', 'I50.22', 'I50.30', 'I50.31', 'I50.32', 'I50.40']",1
heart failure; with decompensation,"['K90.83', 'I50.814', 'E31.0', 'I09.81', 'I50.82', 'I50.89', 'I50.9']",1
gallbladder carcinoma,['D01.5'],1
stage iii intrahepatic cholangiocarcinoma ajcc v8,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
stage iv intrahepatic cholangiocarcinoma ajcc v8,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
unresectable cholangiocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
adpkd,None,1
"cannabis dependence, continuous","['F10.20', 'F11.20', 'F12.20', 'F14.20', 'F16.20', 'F18.20', 'Z99.0']",1
obese patients with non-alcoholic steatohepatitis (nash),['K75.81'],1
relapsed or refractory small lymphocytic lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
refractory mantle cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
relapsed mantle cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
noninfectious uveitis,"['H20.043', 'H20.041', 'H20.042', 'H20.049', 'R65.10', 'R65.11']",1
